Time, Position, Velocity, Iq, Uq, Vsupply, Error Position
0.142, 0.03581, 0.0, -0.21191, -0.09863, 0.49365, -0.03456
0.143, 0.03613, 0.0, -0.21191, -0.09473, 0.49365, -0.03361
0.149, 0.03644, 0.0, -0.2041, -0.09131, 0.49359, -0.03267
0.167, 0.03613, 0.0, -0.19043, -0.09229, 0.49359, -0.0311
0.183, 0.03581, 0.0, -0.18262, -0.09033, 0.49359, -0.02953
0.201, 0.0355, 0.0, -0.16992, -0.08398, 0.49359, -0.02796
0.221, 0.03519, 0.0, -0.16602, -0.07861, 0.49353, -0.02639
0.229, 0.03487, 0.0, -0.1582, -0.06543, 0.49353, -0.02482
0.236, 0.03456, 0.0, -0.14648, -0.06787, 0.49353, -0.02325
0.24, 0.03424, 0.0, -0.13672, -0.06201, 0.49353, -0.02168
0.246, 0.03393, 0.0, -0.12598, -0.05566, 0.49359, -0.02011
0.253, 0.03362, 0.0, -0.11621, -0.04785, 0.49353, -0.01854
0.254, 0.0333, 0.0, -0.11328, -0.05127, 0.49353, -0.01696
0.271, 0.03173, 0.0, -0.08984, -0.03857, 0.49359, -0.01414
0.277, 0.03142, 0.0, -0.07715, -0.03076, 0.49359, -0.01257
0.282, 0.0311, 0.0, -0.07227, -0.01904, 0.49365, -0.011
0.283, 0.03079, 0.0, -0.07031, -0.0249, 0.49359, -0.00942
0.319, 0.02733, 0.0, -0.03027, 0.0, 0.49365, -0.00471
0.328, 0.02796, 0.0, -0.03027, 0.0, 0.49359, -0.00408
0.332, 0.02765, 0.0, -0.02148, 0.01172, 0.49365, -0.00251
0.335, 0.02796, 0.0, -0.01172, 0.01465, 0.49365, -0.00157
0.342, 0.02859, 0.0, -0.01367, 0.01367, 0.49365, -0.00094
0.343, 0.02827, 0.0, -0.0127, 0.01318, 0.49365, 0.00063
0.349, 0.02859, 0.0, 0.0, 0.03271, 0.49371, 0.00157
0.355, 0.02922, 0.0, 0.00195, 0.02686, 0.49365, 0.0022
